CODI_CAPA,CAPA_GENERICA,NOM_CAPA,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI,ADRECA
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Llacuna amb Pere IV,Sant Martí,el Poblenou,"C Pere IV, 164"
P001,Internet i comunicacions,WiFi BCN,Casal Municipal de Gent Gran Cotxeres de Sants,Sants-Montjuïc,Sants,"Pas Fructuós Gelabert, 6"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic La Cadena,Sants-Montjuïc,la Marina de Port,"C Mare de Déu de Port, 397"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Espronceda amb Avinguda Diagonal,Sant Martí,el Poblenou,"Av Diagonal, 119"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Rambla Prim amb Avinguda Diagonal,Sant Martí,el Besòs i el Maresme,"Av Diagonal, 2"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Comerç amb el Passeig del Born,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","Pg Born, 36"
P001,Internet i comunicacions,WiFi BCN,Centre Esportiu Municipal Can Dragó,Nou Barris,Porta,"C Rosselló i Porcel, 7*11"
P001,Internet i comunicacions,WiFi BCN,Casal de Gent Gran del Baix Guinardó,Horta-Guinardó,el Baix Guinardó,"C Marina, 380"
P001,Internet i comunicacions,WiFi BCN,Mercat de La Concepció,Eixample,la Dreta de l'Eixample,"C Aragó, 311*LB"
P001,Internet i comunicacions,WiFi BCN,Jardins Interior d'Illa de Tres Tombs,Eixample,Sant Antoni,"C Manso, 24*28"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Comte d'Urgell amb Tamarit,Eixample,Sant Antoni,"C Comte d'Urgell, 12"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Casinet d'Hostafrancs,Sants-Montjuïc,Hostafrancs,"C Rector Triadó, 53"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Casanova amb carrer Londres,Eixample,l'Antiga Esquerra de l'Eixample,"C Casanova, 226"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la plaça Lesseps amb el carrer Gran de Gràcia,Sarrià-Sant Gervasi,el Putxet i el Farró,"Pl Lesseps, 30"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Padilla amb carrer València,Eixample,la Sagrada Família,"C Padilla, 227"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Calvet amb Calaf,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"C Calvet, 58"
P001,Internet i comunicacions,WiFi BCN,Punt 7 - Punt d'Informació Juvenil d'Horta-Guinardó,Horta-Guinardó,Horta,"C Horta, 71"
P001,Internet i comunicacions,WiFi BCN,Casal de Gent Gran Fort Pienc,Eixample,el Fort Pienc,"Pl Fort Pienc, 4-5"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb carrer del Comte d'Urgell,Eixample,la Nova Esquerra de l'Eixample,"C Aragó, 147"
P001,Internet i comunicacions,WiFi BCN,Espai Jove La Fontana,Gràcia,la Vila de Gràcia,"C Gran de Gràcia, 190*192"
P001,Internet i comunicacions,WiFi BCN,Oficina de l'Habitatge de Sants-Montjuïc,Sants-Montjuïc,Sants - Badal,"C Antoni de Capmany, 23"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Comte d'Urgell amb carrer Provença,Eixample,la Nova Esquerra de l'Eixample,"C Comte d'Urgell, 149"
P001,Internet i comunicacions,WiFi BCN,Casal de Barri La Cosa Nostra,Nou Barris,Can Peguera,"C Biure, 1"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de l'Avinguda Gaudí amb el carrer Indústria,Eixample,la Sagrada Família,"C Indústria, 155"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Numància amb carrer Robrenyó,Sants-Montjuïc,Sants,"C Numància, 31"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Còrsega amb l'Avinguda Gaudí,Eixample,la Sagrada Família,"C Còrsega, 572"
P001,Internet i comunicacions,WiFi BCN,Casal de Barri Vila Olímpica-Can Gili Nou,Sant Martí,el Poblenou,"C Taulat, 3*5"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del c. Roger de Llúria amb G. V. de les Corts Catalanes,Eixample,la Dreta de l'Eixample,"G.V. Corts Catalanes, 633"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Thous amb el carrer Josep Ciurana,Horta-Guinardó,el Baix Guinardó,"C Thous, 20"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del Passeig de Gràcia amb el carrer Diputació,Eixample,la Dreta de l'Eixample,"Pg Gràcia, 30"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del c. Viladomat amb la Gran Via de les Corts Catalanes,Eixample,la Nova Esquerra de l'Eixample,"G.V. Corts Catalanes, 489"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Comte Borrell amb l'Avinguda de Roma,Eixample,la Nova Esquerra de l'Eixample,"C Comte Borrell, 184"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic El Coll - La Bruguera,Gràcia,el Coll,"C Aldea, 15"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Ronda del Guinardó amb el carrer Cartagena,Horta-Guinardó,el Guinardó,"C Cartagena, 374"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla Federico García Lorca amb el carrer Via Favència,Nou Barris,Canyelles,"Via Favència, 39"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Ronda del Guinardó amb el carrer San Quintí,Horta-Guinardó,el Guinardó,"Rda Guinardó, 118"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de La Rambla amb el carrer Hospital,Ciutat Vella,el Raval,"C la Rambla, 75"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del c. Casanova amb la Gran Via de les Corts Catalanes,Eixample,l'Antiga Esquerra de l'Eixample,"G.V. Corts Catalanes, 555"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de La Rambla amb el carrer Carme,Ciutat Vella,el Barri Gòtic,"C la Rambla, 116"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Pati Llimona,Ciutat Vella,el Barri Gòtic,"C Regomir, 3"
P001,Internet i comunicacions,WiFi BCN,Museu Frederic Marès,Ciutat Vella,el Barri Gòtic,"Pl Sant Iu, 5"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer de Béjar amb carrer de la Creu Coberta,Sants-Montjuïc,Hostafrancs,"C Béjar, 1"
P001,Internet i comunicacions,WiFi BCN,Centre Esportiu Municipal Can Toda,Gràcia,la Salut,"C Ramiro de Maeztu, 25*27"
P001,Internet i comunicacions,WiFi BCN,Jardí de les Escultures *Annex Edifici Fundació Joan Miró,Sants-Montjuïc,el Poble Sec,"Av Miramar, 1"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Vallespir amb Travessera de les Corts,Les Corts,les Corts,"C Vallespir, 203"
P001,Internet i comunicacions,WiFi BCN,Parc de Cervantes-Roserar,Les Corts,Pedralbes,"Av Diagonal, 706"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Calàbria amb carrer Aragó,Eixample,la Nova Esquerra de l'Eixample,"C Calàbria, 161"
P001,Internet i comunicacions,WiFi BCN,Museu d'Art Contemporani de Barcelona,Ciutat Vella,el Raval,"Pl Àngels, 1"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de Rambla de Catalunya amb Rosselló,Eixample,la Dreta de l'Eixample,"Rbla Catalunya, 117"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a l'Avinguda Paral·lel 75,Sants-Montjuïc,el Poble Sec,"Av Paral.lel, 75"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla Av. de l'Estatut de Catalunya amb Jorge Manrique,Horta-Guinardó,la Clota,"Av Estatut de Catalunya, 15"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Nàpols amb carrer Provença,Eixample,la Dreta de l'Eixample,"C Nàpols, 243"
P001,Internet i comunicacions,WiFi BCN,Punt Multimèdia de Sants - Montjuïc *Casa del Mig,Sants-Montjuïc,Sants,"C Muntadas, 1*5"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Cartagena amb carrer de Josep Ciurana,Horta-Guinardó,el Baix Guinardó,"C Cartagena, 393"
